name	contact email	provider
311-service-requests-legacy	80644104-7cff-4322-b2a3-33466d5e98bb	200
911-daily-dispatch-count-by-agency	80644104-7cff-4322-b2a3-33466d5e98bb	200
active-food-establishment-licenses	80644104-7cff-4322-b2a3-33466d5e98bb	200
all-section-12-alcohol-licenses	80644104-7cff-4322-b2a3-33466d5e98bb	200
approved-building-permits	80644104-7cff-4322-b2a3-33466d5e98bb	200
assessing-online	767c92cc-8a1f-468d-bf07-e46f2c3a7b0e	200
big-belly-alerts-2014	80644104-7cff-4322-b2a3-33466d5e98bb	200
big-belly-locations	80644104-7cff-4322-b2a3-33466d5e98bb	200
boston-jobs-policy-compliance-reports	80644104-7cff-4322-b2a3-33466d5e98bb	200
boston-maps-arcgis-online	f8d82bea-34ab-4328-8adf-a5b1c331b50c	200
boston-neighborhood-shapefiles	80644104-7cff-4322-b2a3-33466d5e98bb	200
boston-open-budget-project-phase-descriptions	80644104-7cff-4322-b2a3-33466d5e98bb	200
boston-police-department-fio	80644104-7cff-4322-b2a3-33466d5e98bb	200
boston-police-department-firearms-recovery-counts	80644104-7cff-4322-b2a3-33466d5e98bb	200
boston-public-library-daily-active-user-counts	80644104-7cff-4322-b2a3-33466d5e98bb	200
btd-sign-shop-completed-workorders	80644104-7cff-4322-b2a3-33466d5e98bb	200
checkbook-explorer	80644104-7cff-4322-b2a3-33466d5e98bb	200
city-of-boston-owned-property	80644104-7cff-4322-b2a3-33466d5e98bb	200
city-of-boston-utility-billing-data	80644104-7cff-4322-b2a3-33466d5e98bb	200
cityscore-full-metric-list	80644104-7cff-4322-b2a3-33466d5e98bb	200
cityscore-summary	80644104-7cff-4322-b2a3-33466d5e98bb	200
clough-house-archaeology	80644104-7cff-4322-b2a3-33466d5e98bb	200
cob-executive-order-open-data-4-7-2014	80644104-7cff-4322-b2a3-33466d5e98bb	200
code-enforcement-building-and-property-violations	80644104-7cff-4322-b2a3-33466d5e98bb	200
cori-vendor-report	80644104-7cff-4322-b2a3-33466d5e98bb	200
cori-vendor-report-updated-as-of-may-2016	80644104-7cff-4322-b2a3-33466d5e98bb	200
crime-incident-reports-august-2015-to-date-source-new-system	80644104-7cff-4322-b2a3-33466d5e98bb	200
crime-incident-reports-july-2012-august-2015-source-legacy-system	80644104-7cff-4322-b2a3-33466d5e98bb	200
department-of-neighborhood-development-property-inventory	80644104-7cff-4322-b2a3-33466d5e98bb	200
dnd-managed-city-property-developable	80644104-7cff-4322-b2a3-33466d5e98bb	200
dnd-managed-city-property-inventory-all	80644104-7cff-4322-b2a3-33466d5e98bb	200
economic-indicators-legacy-portal	80644104-7cff-4322-b2a3-33466d5e98bb	200
employee-earnings-report	80644104-7cff-4322-b2a3-33466d5e98bb	200
entertainment-licenses-legacy	80644104-7cff-4322-b2a3-33466d5e98bb	200
food-establishment-inspections	80644104-7cff-4322-b2a3-33466d5e98bb	200
fy16-cob-gen-fund-budget	80644104-7cff-4322-b2a3-33466d5e98bb	200
fy17-adopted-budget-data	80644104-7cff-4322-b2a3-33466d5e98bb	200
fy17-cob-gen-fund-budget	80644104-7cff-4322-b2a3-33466d5e98bb	200
hospital-locations	80644104-7cff-4322-b2a3-33466d5e98bb	200
liquor-licenses	80644104-7cff-4322-b2a3-33466d5e98bb	200
master-address-list	80644104-7cff-4322-b2a3-33466d5e98bb	200
mayors-24-hour-hotline	80644104-7cff-4322-b2a3-33466d5e98bb	200
open-and-protected-data-policy	80644104-7cff-4322-b2a3-33466d5e98bb	200
park-boston-monthly-transactions-by-zone-2015	80644104-7cff-4322-b2a3-33466d5e98bb	200
parking-tickets-portal-web-statistics	80644104-7cff-4322-b2a3-33466d5e98bb	200
property-assessment	80644104-7cff-4322-b2a3-33466d5e98bb	200
public-works-active-work-zones	80644104-7cff-4322-b2a3-33466d5e98bb	200
rainfall-data	f3e0e3f4-ab68-4223-aa31-284b62d1df5d	200
research-statistics	af233dff-e05c-4ada-9bfa-e783f81d5c66	200
street-light-control-box-electric-power-cost-usage-details	80644104-7cff-4322-b2a3-33466d5e98bb	200
streetlight-locations	80644104-7cff-4322-b2a3-33466d5e98bb	200
street-light-retrofits-2014	80644104-7cff-4322-b2a3-33466d5e98bb	200
street-sweeping-schedules	80644104-7cff-4322-b2a3-33466d5e98bb	200
trash-schedules-by-address	80644104-7cff-4322-b2a3-33466d5e98bb	200
vehicle-excise-tax-2014	80644104-7cff-4322-b2a3-33466d5e98bb	200
wicked-free-wi-fi-daily-connections	80644104-7cff-4322-b2a3-33466d5e98bb	200
